Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
action_editor_test_2ad16339	narrator	debug	game/scripts/actionEditorTest.rpy	37	narrator "[what]"
act1_7cf84a57	nvlNarrator	I am lost.	game/scripts/acts/act1.rpy	45	nvlNarrator "[what]"
act1_0cac5763	nvlNarrator	Pray, that I shall find my path.	game/scripts/acts/act1.rpy	45	nvlNarrator "[what]"
act1_931454c5	nvlNarrator	Pray, that I shall not lose heart.	game/scripts/acts/act1.rpy	45	nvlNarrator "[what]"
act1_a4455dbb	nvlNarrator	Pray, I see for who I am.	game/scripts/acts/act1.rpy	45	nvlNarrator "[what]"
act1_e7dcbb08	nvlNarrator	This, the only wish I have.	game/scripts/acts/act1.rpy	45	nvlNarrator "[what]"
act1_7293bc4b	nvlNarrator	\nBefore I’ve wronged,	game/scripts/acts/act1.rpy	45	nvlNarrator "[what]"
act1_d255fd7c	nvlNarrator	So far gone.	game/scripts/acts/act1.rpy	45	nvlNarrator "[what]"
act1_3ee951fc	il	We should think of finding shelter soon, before it gets too dark.	game/scripts/acts/act1.rpy	98	il "[what]"
act1_5929efd8		Ilona waits for Edwin to turn back into a human, closing her eyes to rest for a moment. There's only the sound of the forest until Edwin speaks to break their silence.	game/scripts/acts/act1.rpy	102	"[what]"
act1_efb2cbb1	ed	I know that I'm asking for too much, but despite everything that's happened… would you please stay with me?	game/scripts/acts/act1.rpy	108	ed "[what]"
act1_68dcc588	il	What? Edwin, please, calm down-	game/scripts/acts/act1.rpy	112	il "[what]"
act1_e754ed99	ed	... Ilona I-I can’t. Not in a situation like this...	game/scripts/acts/act1.rpy	116	ed "[what]"
act1_cab4f62c	il	You’re right, but I need you to slow down. I can’t keep up with you and that is only going to make us look all the more suspicious.	game/scripts/acts/act1.rpy	122	il "[what]"
act1_161c342c	ed	...	game/scripts/acts/act1.rpy	124	ed "[what]"
act1_1c296b8a	il	We have only each other to rely on.	game/scripts/acts/act1.rpy	133	il "[what]"
act1_46e0d11b		As she says this, she places her hands over his. His hands are abnormally cold to touch. Ilona learned this was a sign of his transformation.	game/scripts/acts/act1.rpy	140	"[what]"
act1_b958cf55		She gently caresses his hand and strokes it soothingly.	game/scripts/acts/act1.rpy	142	"[what]"
act1_9391265e		Despite his curse, she must remain with him.	game/scripts/acts/act1.rpy	144	"[what]"
act1_a9c16504		The moonlight beams over them, slightly wavering with each breath they take.	game/scripts/acts/act1.rpy	148	"[what]"
act1_821e83ae	il	(If only the moonlight would never leave us. We should rest here for a while.)	game/scripts/acts/act1.rpy	152	il "[what]"
act1_da07b632	il	Edwin…	game/scripts/acts/act1.rpy	154	il "[what]"
act1_8812655e	ed	…	game/scripts/acts/act1.rpy	158	ed "[what]"
act1_d22814f6	il	Ed…	game/scripts/acts/act1.rpy	162	il "[what]"
act1_d3efef17	ed	Yes, I’m here. Please forgive my wandering mind.	game/scripts/acts/act1.rpy	166	ed "[what]"
act1_c9d9e350	ed	...What could I ever do without you? I feel like I have never thanked you for-	game/scripts/acts/act1.rpy	172	ed "[what]"
act1_3668f414	il	You have thanked me more than enough already, Edwin. I appreciate it…	game/scripts/acts/act1.rpy	176	il "[what]"
act1_a8078a70		Their eyes flicker for a moment and he’s not shivering anymore. 	game/scripts/acts/act1.rpy	182	"[what]"
act1_88437638		Eventually, they press on. They sight a lonely settlement on the horizon; stone walls surround its perimeter.	game/scripts/acts/act1.rpy	190	"[what]"
act1_174e03cb	ed	Heh…	game/scripts/acts/act1.rpy	195	ed "[what]"
act1_fe98e4f3	ed	I haven't felt like m-myself lately, since the incident back at the priory. Try as I may to blend in, to do good and keep myself in check… I am a beast, through and through.	game/scripts/acts/act1.rpy	199	ed "[what]"
act1_498796b3	ed	What is it that we've done wrong? Is us being together something so heinous? Is my existence such a sin?	game/scripts/acts/act1.rpy	203	ed "[what]"
act1_4e05bc5f	il	...	game/scripts/acts/act1.rpy	208	il "[what]"
act1_f0cc2f26	ed	I did not know the extent of the hatred that lay within their souls until that night… to go as far as to burn me alive…	game/scripts/acts/act1.rpy	218	ed "[what]"
act1_bdf2c12b	ed	Is there something wrong with me, Ilona? I'm always on edge, fearing for our lives… I never meant to put you through this.	game/scripts/acts/act1.rpy	220	ed "[what]"
act1_dc9e184e	il	If you want my answer as a former nun… You and I have sinned.	game/scripts/acts/act1.rpy	226	il "[what]"
act1_94fcde9e	il	You said that you were a beast, through and through.	game/scripts/acts/act1.rpy	228	il "[what]"
act1_cc29e9ed	il	You're not. You’re-	game/scripts/acts/act1.rpy	232	il "[what]"
act1_4ce6fb1d		Edwin immediately releases her hand, intertwined seconds ago, but now balled into a fist. The rustling of dry leaves brings with it a heavily armed guard and an archer wearing a cloak.	game/scripts/acts/act1.rpy	242	"[what]"
act1_292a0b43	unk	That's enough loitering around the town wall looking suspicious, don't you think?	game/scripts/acts/act1.rpy	244	unk "[what]"
act1_17fa5516	unk	I've been observing your movements from the battlements for a while now. Be grateful that the town master wishes to have a meeting with you, or else I would have already pierced you with my arrows.	game/scripts/acts/act1.rpy	251	unk "[what]"
act1_af13fa16	ed	But, we-	game/scripts/acts/act1.rpy	256	ed "[what]"
act1_daf225eb	il	May we ask, to what purpose do we owe this pleasure?	game/scripts/acts/act1.rpy	261	il "[what]"
act1_fb7348d7	unk	{i}Sister{/i}, all I know is that the master called you. I sighted a nun and a man outside the town walls and informed him of this.	game/scripts/acts/act1.rpy	267	unk "[what]"
act1_59d5ebd0	unk	I can tell your legs are shaking even from here… so make sure to comply obediently and I won't ask any difficult questions about you in return.	game/scripts/acts/act1.rpy	269	unk "[what]"
act1_a6cad620	ed	She simply asked what business the master has with us. You're acting very feisty for someone who didn't even have the decency to introduce herself.	game/scripts/acts/act1.rpy	273	ed "[what]"
act1_6928dc2b	unk	Hmph. Fair enough.	game/scripts/acts/act1.rpy	279	unk "[what]"
act1_6cdb422e	an	My name is Anari. Happy now?	game/scripts/acts/act1.rpy	283	an "[what]"
act1_f253981e	an	I'm not going to probe you or anything.	game/scripts/acts/act1.rpy	286	an "[what]"
act1_a7c02d41	an	You may be outsiders, but you look like decent enough folk. No need to come up with any grand excuses for why you’re here.	game/scripts/acts/act1.rpy	288	an "[what]"
act1_e39fd1e3	an	So, let’s get back to it. Will you accept the town master's call?	game/scripts/acts/act1.rpy	291	an "[what]"
act1_e4151a94	il	...I suppose that choice is not truly much of one. I accept.	game/scripts/acts/act1.rpy	295	il "[what]"
act1_186c0269	an	A wise judgement. You’re clever for a nun, but you should learn to keep your dog in line.	game/scripts/acts/act1.rpy	301	an "[what]"
act1_e1980f05	ed	...Excuse me?	game/scripts/acts/act1.rpy	305	ed "[what]"
act1_4d2e1cfa	an	I don’t appreciate being called ‘feisty’.	game/scripts/acts/act1.rpy	309	an "[what]"
act1_c42899de	ed	I meant no offense when I said that. My apologies.	game/scripts/acts/act1.rpy	315	ed "[what]"
act1_97971ac5	an	So you do have manners; it would do you well to keep them. Let’s get moving, then. I’ll escort you to the manse.	game/scripts/acts/act1.rpy	319	an "[what]"
act1_fad72934		Anari takes the position of rear guard, as the other guard leads the way forward.	game/scripts/acts/act1.rpy	326	"[what]"
act1_c33914e7		Ilona glances back, just once. Anari's bow is by her side and a hand rests on the quiver, ready to fire if the two of them even thought of escaping.	game/scripts/acts/act1.rpy	330	"[what]"
act1_840eb37c		Ilona cannot help but wonder just how much of their conversation Anari overheard... Her arrival seemed too well-timed.	game/scripts/acts/act1.rpy	332	"[what]"
act1_bd728716		Did they give away too much, even when they thought they were alone?	game/scripts/acts/act1.rpy	334	"[what]"
act1_69a2867d		She glances at Edwin, his face inscrutable. And so, they enter the gates.	game/scripts/acts/act1.rpy	336	"[what]"
act1_b2c677a3	ed	(When was the last time I felt any hope? Anything besides pain? The swelling in my chest is excruciating…)	game/scripts/acts/act1.rpy	360	ed "[what]"
act1_f989775a	ed	(I truly wouldn't have made it this far on my own. Even if I hide what I am well, people can't help but to be suspicious.)	game/scripts/acts/act1.rpy	363	ed "[what]"
act1_e32c419f	ed	(Although — a town full of people not trying to kill me yet is quite an improvement.)	game/scripts/acts/act1.rpy	366	ed "[what]"
act1_19a7f63c		The town is bustling despite not being very large. A clock tower stands over the plaza. Small patches of land growing wheat are adjacent to the plaza and there is a stocked stable for horses nearby.	game/scripts/acts/act1.rpy	368	"[what]"
act1_8a8d8910		There's a large bonfire in the square, and there are carved turnips at the doors of all the houses.	game/scripts/acts/act1.rpy	370	"[what]"
act1_3a3c3fe1	il	What kind of decorations are these?	game/scripts/acts/act1.rpy	376	il "[what]"
act1_a3084de7	ed	It’s for... All Hallows’ Eve, a celebration to commemorate the dead.	game/scripts/acts/act1.rpy	380	ed "[what]"
act1_39fb5494	il	You mean All Saints’ Eve? Why are the townsfolk celebrating in joy, then?	game/scripts/acts/act1.rpy	384	il "[what]"
act1_8f79b109	ed	You were raised strictly, Ilona. Father Ivanov never wanted you to know about these pagan festivals.	game/scripts/acts/act1.rpy	390	ed "[what]"
act1_cd161ab9	ed	Oh!-	game/scripts/acts/act1.rpy	397	ed "[what]"
act1_dad19b0c	unk	Young lad, please watch your step. One mistake and this weary old man is done for…	game/scripts/acts/act1.rpy	403	unk "[what]"
act1_6a813be3	ed	I’m so sorry for bumping into you, sir-	game/scripts/acts/act1.rpy	409	ed "[what]"
act1_0c985e71	an	...Kellac, we're the same age.	game/scripts/acts/act1.rpy	415	an "[what]"
act1_6f431cac	ke	Fancy meeting you here, Anari. I didn’t know you like to take strolls. I never knew you had friends either! And who may you be, dear sister?	game/scripts/acts/act1.rpy	422	ke "[what]"
act1_de179210	ed	Uh, I’m not sure we're friends…	game/scripts/acts/act1.rpy	428	ed "[what]"
act1_aaeed289	ke	Pleased to make your acquaintance, anyhow. I’m Kellac, Anari and I go way back.	game/scripts/acts/act1.rpy	434	ke "[what]"
act1_e24e19b8	an	That we do, and I regret it.	game/scripts/acts/act1.rpy	438	an "[what]"
act1_013bf581	ke	You’ve just got to love that personality! Don’t take her too seriously, she's always been like that.	game/scripts/acts/act1.rpy	442	ke "[what]"
act1_8b4d669e	ed	I see… I'm Edwin. Pleased to make your acquaintance.	game/scripts/acts/act1.rpy	447	ed "[what]"
act1_6af4c780	il	As am I. My name is Ilona. Forgive my ignorance, but are you the master of this town?	game/scripts/acts/act1.rpy	451	il "[what]"
act1_cb0bbce6	ke	Me? Sorry, but no. I'm just the physician and herbalist. Did the master summon you?	game/scripts/acts/act1.rpy	457	ke "[what]"
act1_8d34d888	il	He did, but I don't know what business we have with him...	game/scripts/acts/act1.rpy	464	il "[what]"
act1_320aabaf	ke	Aha. I should have expected as much; Anari has a habit of leaving out the details and jumping straight to the point.	game/scripts/acts/act1.rpy	471	ke "[what]"
act1_db6d3c4a	ke	I should get going, but we're bound to see each other again soon. Keep well, Anari.	game/scripts/acts/act1.rpy	476	ke "[what]"
act1_d0644ba6		Anari only nods curtly, and the group moves along. Further into the town, they find a large house made of timber and stone.	game/scripts/acts/act1.rpy	482	"[what]"
act1_85b98112		Anari knocks on the door. It is answered by a man and woman in fine clothing. They step outside of the house.	game/scripts/acts/act1.rpy	502	"[what]"
act1_df1cba86	an	Sir Uldin, Lady Salome. I've brought to you Sister Ilona, and her companion Edwin.	game/scripts/acts/act1.rpy	512	an "[what]"
act1_6fd50c4c	ul	So the man was with her after all?	game/scripts/acts/act1.rpy	518	ul "[what]"
act1_872e30dc	an	At first, I thought a holy woman was being accosted by some blackguard. To think that he was her travelling companion...	game/scripts/acts/act1.rpy	523	an "[what]"
act1_1999e055	ed	I understand I may not have the friendliest appearance… but I have sworn to protect Sister Ilona from harm.	game/scripts/acts/act1.rpy	527	ed "[what]"
act1_12e527ef	ul	This is indeed unexpected… Anari's eyes are keen, but perhaps only for hunting her quarry.	game/scripts/acts/act1.rpy	531	ul "[what]"
act1_757ba920	an	True. There's no need to understand the conversations of beasts to hunt them, only their behaviour.	game/scripts/acts/act1.rpy	535	an "[what]"
act1_c4c96189	sa	Judging by Anari's report, I would have thought she was describing a saint!	game/scripts/acts/act1.rpy	541	sa "[what]"
